sample_id	group
SRR22682208	1
SRR22682244	1
SRR22682261	1
SRR22682272	1
SRR22682273	1
SRR22682308	0
SRR22682317	0
SRR22682319	0
SRR22682322	0
SRR22682324	0
SRR22682326	0
SRR22682328	0
SRR22682330	0
SRR22682336	1
SRR22682351	1
SRR22682364	1
SRR22682401	1
SRR22682429	1
SRR22682493	1
SRR22682497	1
SRR22682499	1
SRR22682504	1
SRR22682536	0
SRR22682539	0
SRR22682541	0
SRR22682543	0
SRR22682545	0
SRR22682550	0
SRR22682553	0
SRR22682555	0
SRR22682558	0
SRR22682560	0
SRR22682562	0
SRR22682570	1
SRR22682593	1
SRR22682598	0
SRR22682601	0
SRR22682603	0
SRR22682605	0
SRR22682607	0
SRR30050020	0
SRR30050022	0
SRR30050023	0
SRR30050026	0
SRR30050028	0
SRR30050029	0
SRR30050031	0
SRR30050034	1
SRR30050090	1
SRR30050096	1
SRR30050108	1
SRR30050111	1
SRR30050117	0
SRR30050119	0
SRR30050121	0
SRR30050124	0
SRR30050126	0
SRR30050127	0
SRR30050128	0
SRR30050131	0
SRR30050132	0
SRR30050040	1
SRR30050043	1
SRR30050045	1
SRR30050046	1
SRR30050053	1
SRR30050058	1
SRR30050059	1
SRR30050061	1
SRR30050068	1
ERR475468	0
ERR475469	0
ERR475470	0
ERR475473	0
ERR475474	0
ERR475477	0
ERR475478	0
ERR475480	0
ERR475481	0
ERR475483	0
ERR475484	0
ERR475485	0
ERR475486	0
ERR475487	0
ERR475488	0
ERR475492	0
ERR475494	0
ERR475495	0
ERR475497	0
ERR475500	1
ERR475501	1
ERR475503	0
ERR475504	0
ERR475508	0
ERR475512	0
ERR475513	1
ERR475514	0
ERR475517	0
ERR475519	0
ERR475522	0
ERR475525	0
ERR475526	0
ERR475532	1
ERR475534	0
ERR475539	1
ERR475540	1
ERR475541	1
ERR475545	0
ERR475549	0
ERR475550	0
ERR475563	0
ERR475564	0
ERR475565	0
ERR475566	0
ERR475570	0
ERR475571	0
ERR475572	0
ERR475574	0
ERR475575	0
ERR475576	1
ERR475579	1
ERR475580	1
ERR475591	1
ERR674079	0
ERR674081	0
ERR674084	0
ERR674086	0
ERR674092	0
ERR674098	0
ERR674099	0
ERR674101	0
ERR674102	0
ERR674104	0
ERR674107	0
ERR674109	0
ERR674116	0
ERR674123	1
ERR674124	1
ERR674128	1
ERR674129	1
ERR674130	1
ERR674131	1
ERR674132	1
ERR674133	1
ERR674135	1
ERR674137	1
ERR674141	1
ERR674142	1
ERR674145	1
ERR674150	1
ERR674152	1
ERR674156	1
ERR674165	1
ERR674166	1
ERR674167	1
ERR674168	1
ERR674169	1
SRR2761034	0
SRR2761043	0
SRR2761049	0
SRR2761052	0
SRR2761069	0
SRR2761070	0
SRR2761072	0
SRR2761083	0
SRR2761084	0
SRR2761091	0
SRR2761092	1
SRR2761196	1
SRR2761198	1
SRR2761200	1
SRR2761246	1
SRR2761260	1
SRR2761292	0
SRR2761294	0
SRR2761296	0
SRR2761300	0
SRR2761408	1
SRR3361466	0
SRR3361469	0
SRR3361475	0
SRR3361480	0
SRR3361482	0
SRR3361483	0
SRR3361489	0
SRR3361499	0
SRR3361501	0
SRR3361505	0
SRR3361506	0
SRR3361524	0
SRR3361527	0
SRR3361528	0
SRR3361529	0
SRR3361531	0
SRR3361536	0
SRR3361540	0
SRR3361545	0
SRR3361546	1
SRR3361562	1
SRR3361563	0
SRR3361586	1
SRR3361590	1
SRR3361593	1
SRR3361601	0
SRR3361605	0
SRR3361608	0
SRR3361609	1
SRR3361610	0
SRR3361612	1
SRR3361618	1
SRR3361624	1
SRR3361632	1
SRR3361637	0
SRR3361652	1
SRR3361658	1
SRR3361671	0
SRR3361681	0
SRR3361682	1
SRR3361683	0
SRR3361685	0
SRR3361687	0
SRR3361694	0
SRR3361695	0
SRR3361696	0
SRR3361746	0
SRR3361747	1
SRR3362059	1
SRR3362060	1
SRR3362063	0
SRR3362069	1
SRR3362071	1
SRR3362073	1
SRR3362108	1
SRR3362116	0
SRR3362120	0
SRR3362125	0
SRR3362128	0
SRR3362133	0
SRR3362138	0
SRR3362146	0
SRR3362147	0
SRR3362148	0
SRR3362155	1
SRR3362156	0
SRR3362162	0
SRR3362169	0
SRR3362174	0
SRR3362179	0
SRR3362189	0
SRR3362190	0
SRR3362197	1
SRR3362198	0
SRR3362200	0
SRR3362205	0
SRR3362208	0
SRR3362209	0
SRR3362211	0
SRR3362219	1
SRR3362221	0
SRR3362232	0
SRR3362233	1
SRR3362253	1
SRR3362257	0
SRR3362258	0
SRR3362267	0
SRR3362269	0
SRR3362275	0
SRR3362277	0
SRR3362284	0
SRR3362285	0
SRR3362288	0
SRR3362291	0
SRR3666996	0
SRR3666999	1
SRR3667001	1
SRR3667003	1
SRR3667007	1
SRR3667008	0
SRR3667010	1
SRR3667011	1
SRR3667012	0
SRR3667013	1
