	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
s.Slackia.isoflavoniconvertens	0.4919409260457345	-3.282186370950659	-0.3679285197088768	-0.21022442459142643	0.49928964399800385	-0.2653748881928883	-0.08484191078344973	-0.8144466324499867	-0.08952506492220258	-0.16967826747119977	-0.0004929561026938232	0.511720811697243	-0.026546694466961916	0.38186165338444417	0.08687845982863196	0.011346287591066312	0.0015761002444585957	-0.01076374350248053	0.15510257882075087	0.01375832627027948	-0.01307838434700697	0.0671233611268045	-0.013915666519341398	-0.023621315038191842	0.06449939031185267	0.05657543925471145	0.005720537464737347	-0.002737295425656543	0.021158798281542716	-0.004931465943530814	0.004726995837588544	0.005509877931265597
s.Ellagibacter.isourolithinifaciens	0.5145644138467337	-2.6957663609669003	0.7133620960159999	-0.33125678076152953	0.37812450992206714	-0.35458135656485773	-0.16377182481587366	-0.9946666069234857	-0.11457435853917744	-0.23286241325813453	-0.0009798623221890879	0.5653070718121527	-0.0733923043366136	0.44844164606925424	0.07127897597718971	0.016131076364828353	-0.01161129181489747	-0.015859832902284838	0.20508007316992158	0.009446504697382301	-0.02076283982612071	0.13887335946056417	-0.018238576161488874	-0.024772296804881917	0.07480052286099272	0.05833866376554398	0.004368430036917269	-0.002125505450380674	0.016387157122091222	-0.003431116880458697	0.0036011967722842666	0.004103754503639175
s.Senegalimassilia.anaerobia	0.5325557316637527	-2.07295075797594	1.791873968267446	-0.43831011910726503	0.23768378269725596	-0.41389665199455733	-0.2281939299097191	-1.0815593775215988	-0.1284461710182679	-0.26656619868133424	-0.001330776908354591	0.5395145608492378	-0.10753446186452395	0.4443111137436861	0.04435915178942624	0.01718575698964879	-0.021255162241792025	-0.016546001393064128	0.19890010498943714	0.003145600567267119	-0.021032408463792413	0.15408346432380127	-0.015992235975254745	-0.017627575902800115	0.05866876731980364	0.040242800104066695	0.0017241143568961254	-0.0008708473419732425	0.0065812907806886865	-0.0009618111874387489	0.0012479394668934603	0.0013322511706700625
s.Eggerthella.lenta	0.5290728034267141	-2.2469589694323404	1.5085827834255916	-0.4142071300476815	0.2799566116856625	-0.4074306295652591	-0.21585280380391278	-1.087243572626763	-0.12825046709913285	-0.267184407485153	-0.0012844571155746468	0.5713068163314761	-0.10309553524811299	0.4682838427629954	0.054751413992878924	0.01823545880310296	-0.020203599516888625	-0.018002395411885686	0.22097227857425655	0.0052994762398722185	-0.023907261605436693	0.17384399080700416	-0.019132680660728252	-0.022508998705961465	0.07287851091041522	0.052179217152383994	0.002785325475020231	-0.0013874802531837448	0.01061549840592535	-0.0018197370781176832	0.002204342546541736	0.0024121206417167104
s.Adlercreutzia.equolifaciens	0.5221804859261017	-2.4854964968464084	1.0954821450088923	-0.37317444197625943	0.33373610487865485	-0.38461469069141135	-0.1911169177197714	-1.0536563245357577	-0.12289781456688621	-0.2541392530176807	-0.001149248150998015	0.5808538420224085	-0.08992371598452069	0.46951845296816613	0.06503171822744774	0.01780290288374572	-0.016465942210790976	-0.01769959721553628	0.22285791341474095	0.0077120593129857895	-0.02371907696580916	0.16726605471104708	-0.01992100292344765	-0.02516975849802271	0.07878613541292842	0.05892785796664149	0.0037931698256992736	-0.0018652032526129537	0.014349097492035608	-0.0027660886574272076	0.0031004875336352166	0.003469551591561193
s.GGB79973.SGB14341	0.5500264182059437	-1.6667130678704185	2.5625217450615243	-0.5300182500424622	0.15730368454516666	-0.4910935820447228	-0.29191543749790233	-1.2523923007090692	-0.15154472987923948	-0.3271593569031593	-0.0017605830638172607	0.6166998305135528	-0.1498141879107765	0.5293237498681079	0.037465022994008945	0.023124281093848457	-0.03415939573534124	-0.02346318884065153	0.27434539085478526	0.00035110005298380855	-0.032871217110093394	0.25980124976755997	-0.024375990147777072	-0.024057611384800063	0.08583837748859284	0.05482850743678016	0.0011183150731240558	-0.0006353756890732781	0.00470602742600812	0.00017273527425940618	0.0007051939320802461	0.0004972531517859651
s.GGB34797.SGB14322	0.5574996948062799	-1.4307450996504707	2.978874665328725	-0.5731600143047189	0.10537864118104819	-0.5182261541498259	-0.31897870327968286	-1.2991461119939731	-0.15850960166021136	-0.34470297659477944	-0.001918777602033865	0.6184668686617039	-0.1653109243267099	0.5386391618008343	0.02852017694945738	0.024197399863247572	-0.03869974100559716	-0.024564069152624563	0.28226698129339345	-0.0019068638183984323	-0.034518472665216675	0.2784515980151357	-0.024818659204564594	-0.02276999722458492	0.08462484590781214	0.051344450889637676	0.00023903601228344635	-0.00022521483258301452	0.0014933795552676988	0.001076614340610647	-8.367038342531967e-05	-0.0004602480854041274
s.GGB9359.SGB14334	0.5579965673625072	-1.4135653348481532	3.008636796065266	-0.5761254523608303	0.10150598457706889	-0.5198999504004896	-0.32078076978125136	-1.3016575793036178	-0.15890723524227066	-0.3456843657190835	-0.0019287782928427922	0.6178711626880733	-0.16629100848172004	0.5386487214746243	0.027783911557456426	0.024236914224955546	-0.03898380142839811	-0.024597398496664095	0.28226500981030317	-0.002083047709631804	-0.03455604831576984	0.27914497085908985	-0.024780880651599706	-0.022595449533828905	0.08426597783282518	0.05089841871053204	0.0001657939724233024	-0.00019062096822627196	0.0012226579559055737	0.001147420444326328	-0.00014950701846417128	-0.000538622273335668
s.Collinsella.bouchesdurhonensis	0.4890961717917062	-2.9778160157357307	0.02260711280344807	-0.21743117595184724	0.4068574854361925	-0.21295725639574564	-0.07062855068797359	-0.6136444106064677	-0.06634014296515586	-0.10261782752153335	-0.00023139128368337728	0.2916939908547505	0.0003088189700228956	0.18489510721823285	0.04884719249464206	-0.0001965302462899401	0.011630206005645839	0.0041530579673657005	-0.03692553934771819	0.0068186346403530445	0.015492127761293006	-0.16228725304171812	0.012182226708947894	0.00904896213810232	-0.04122493220406251	-0.022565148591454077	0.0008168112607983856	-0.0002674737547879891	0.00166544341705299	-0.001480688649290004	-0.0003673268290010997	-4.247078936748391e-05
s.Collinsella.aerofaciens	0.48684310212035253	-3.0560249618832978	-0.11271127870391194	-0.20409827324545274	0.4245375915305867	-0.20586215315543105	-0.06275652803892282	-0.6038568450792375	-0.06474271793129639	-0.09888260223017385	-0.00019018710419821088	0.29619638160273676	0.004260461557955492	0.18672865776808378	0.05236704394277323	-0.00022101057495626183	0.012687141596609506	0.004086091608897294	-0.034274235412185244	0.007629962160780858	0.015192906467078987	-0.16127928845363543	0.011606085409472573	0.007820816073288493	-0.0380540371165121	-0.01948511699826109	0.0011850588103671335	-0.0004442191955011356	0.0030516769048735794	-0.0018102414586888807	-2.3780299477469024e-05	0.00035561533718132896
