sampel_id,fold,pred_prob
ERR1994990,fold_1,0.48487986186304627
ERR1994997,fold_1,0.48487986186304627
ERR1995000,fold_1,0.48487986186304627
ERR1995015,fold_1,0.4874811574784838
ERR1995026,fold_1,0.4826642937167701
ERR1995029,fold_1,0.4828621098336011
ERR1995030,fold_1,0.459783031692834
ERR1995037,fold_1,0.4627928032219527
ERR1995048,fold_1,0.4623383318963802
ERR1995069,fold_1,0.4638629273303464
ERR2014745,fold_1,0.5036344120154956
ERR2014755,fold_1,0.5048512479379381
ERR2014757,fold_1,0.4978541899873665
ERR2014758,fold_1,0.4891041608482411
ERR2014759,fold_1,0.5116310218257054
ERR2596982,fold_1,0.5412860679192956
ERR2596986,fold_1,0.6138413573144453
ERR2596987,fold_1,0.6077937714905685
ERR2596988,fold_1,0.5198775182444366
ERR2596989,fold_1,0.6233240824427937
ERR2596991,fold_1,0.47156906413832567
ERR2596994,fold_1,0.4858363284920243
ERR2596996,fold_1,0.4939270685142671
ERR2597007,fold_1,0.5094535983848009
ERR2597011,fold_1,0.5088637174298467
ERR2597025,fold_1,0.5508974997472575
ERR2597048,fold_1,0.512738006937868
ERR2597050,fold_1,0.502664031147074
ERR2597076,fold_1,0.5582127404706542
ERR2597092,fold_1,0.6277089819248564
ERR2597101,fold_1,0.5533078315679826
ERR2597119,fold_1,0.6342607073748986
ERR2597127,fold_1,0.6252217127135337
ERR2597136,fold_1,0.6095653493705853
ERR2597148,fold_1,0.550931232255758
ERR2597155,fold_1,0.6130131900729545
ERR2597158,fold_1,0.5726273827348369
ERR2597163,fold_1,0.6518186847764347
ERR2597175,fold_1,0.609725651480828
ERR2597177,fold_1,0.5306585865406301
ERR2597178,fold_1,0.5812585469393328
ERR2597181,fold_1,0.5865371364972922
ERR2597184,fold_1,0.6145954601350263
ERR2597188,fold_1,0.5182953438563406
ERR2597190,fold_1,0.5542066623576022
ERR2597228,fold_1,0.6142137348419648
ERR2597245,fold_1,0.6121659816856407
ERR2597248,fold_1,0.5873060890836692
ERR2597262,fold_1,0.5860598960328449
ERR2597265,fold_1,0.5835964862296201
ERR2597280,fold_1,0.5131768829051491
ERR2597281,fold_1,0.4853958981573258
SRR5269741,fold_1,0.5103123353383483
SRR5269742,fold_1,0.4614715464312278
SRR5269752,fold_1,0.4055677750496716
SRR5269758,fold_1,0.4196174376361427
SRR5269764,fold_1,0.4796876687424383
SRR5269768,fold_1,0.4292947294675698
SRR5269769,fold_1,0.4422856099812631
SRR5269773,fold_1,0.40143444536827044
SRR5269775,fold_1,0.44524432098402006
SRR5269784,fold_1,0.4301855725537257
SRR5269792,fold_1,0.4130013845164152
SRR5269796,fold_1,0.4078203078601246
SRR5269803,fold_1,0.45174099083415
SRR5269808,fold_1,0.43696025409531364
SRR5269824,fold_1,0.45136122309699034
SRR5269826,fold_1,0.4486965818323296
SRR5269833,fold_1,0.4756388342933311
SRR5269834,fold_1,0.4292757877907198
SRR5269835,fold_1,0.484075407272283
SRR5269836,fold_1,0.5045463186464916
SRR5269840,fold_1,0.514917500042766
SRR5269846,fold_1,0.48005811142313926
SRR5269853,fold_1,0.49194848594566115
SRR5269854,fold_1,0.47013366825532754
SRR5269855,fold_1,0.4675250789094317
SRR5269859,fold_1,0.47827738938846825
SRR5269863,fold_1,0.49749394904995364
SRR5269865,fold_1,0.5038322970588857
SRR5269871,fold_1,0.466580839728627
SRR5269881,fold_1,0.5013884959036495
SRR5269886,fold_1,0.4988337300064493
SRR5269906,fold_1,0.4880333888621846
SRR5269914,fold_1,0.47097300760803634
SRR5269915,fold_1,0.4869564831680354
SRR5269922,fold_1,0.4336348998060789
SRR5269938,fold_1,0.3888287629120059
SRR5269953,fold_1,0.40067122893722773
SRR5269972,fold_1,0.41878358026261325
SRR5269975,fold_1,0.42042703365674344
SRR5269977,fold_1,0.39413791399169756
SRR5269988,fold_1,0.4430025652744759
SRR5269993,fold_1,0.46037507078626716
SRR5269996,fold_1,0.4368318044290121
SRR5270001,fold_1,0.42905167570131764
SRR5270016,fold_1,0.3929643952316877
SRR5270018,fold_1,0.43470955971466496
SRR5270020,fold_1,0.43314218905588453
SRR5270029,fold_1,0.39497897974955404
SRR5270043,fold_1,0.42354218815766
SRR5270061,fold_1,0.39612421617425997
SRR5270062,fold_1,0.44230275822208265
SRR5270063,fold_1,0.4263808711555346
SRR5270064,fold_1,0.41656422596095194
SRR5270069,fold_1,0.4346348544096187
SRR5270070,fold_1,0.3857077151509582
SRR5270074,fold_1,0.40220399957783676
SRR5270080,fold_1,0.4500338289915859
SRR5270083,fold_1,0.46859190071999113
SRR5270098,fold_1,0.46395947263514714
SRR5270109,fold_1,0.4913260523231983
SRR7533820,fold_1,0.51217386320165
SRR7533823,fold_1,0.5942713491854945
SRR7533840,fold_1,0.4860115502525857
SRR7533850,fold_1,0.5006060956766792
SRR7533853,fold_1,0.5466116144537896
SRR7533856,fold_1,0.5070644435222881
SRR7533860,fold_1,0.4875133594798408
SRR7533871,fold_1,0.5107341486116365
SRR7533877,fold_1,0.4884095685590253
SRR7533885,fold_1,0.5163483718939422
SRR7533891,fold_1,0.5040653062714501
SRR7533916,fold_1,0.5180363093206563
SRR7533920,fold_1,0.4244840033432441
SRR7533925,fold_1,0.4939974781843141
SRR7533941,fold_1,0.48394855871880754
SRR7533952,fold_1,0.49676537290578776
SRR7533956,fold_1,0.4827247062580544
SRR7533959,fold_1,0.5951348390476244
SRR7533979,fold_1,0.49683179429789137
SRR7533985,fold_1,0.491408131192055
SRR7533988,fold_1,0.4958416236953107
SRR7533997,fold_1,0.5254714747260842
SRR7534022,fold_1,0.472669157954414
SRR7534029,fold_1,0.452912336575849
SRR7534066,fold_1,0.4773560595509491
SRR7534076,fold_1,0.5095772199856841
