sample_id	group
ERR5009478	0
ERR5009480	0
ERR5009481	0
ERR5009484	0
ERR5009493	0
ERR5009496	1
ERR5009498	1
ERR5009499	1
ERR5009500	1
ERR5009501	1
ERR5009562	1
ERR5009563	1
ERR5009564	1
ERR5009565	1
ERR5009571	1
ERR5009575	1
ERR5009577	1
ERR5009582	1
ERR5009584	1
ERR5009585	1
ERR5009588	1
ERR5009589	1
ERR5009590	1
ERR5009594	1
ERR5009597	1
ERR5009598	1
ERR5009604	1
ERR5009606	1
ERR5009608	1
ERR5009617	1
ERR5009619	1
ERR5009622	1
ERR5009623	1
ERR5009629	1
ERR5009631	1
ERR5009634	1
ERR5009636	1
ERR5009639	1
ERR5009640	1
ERR5009641	1
ERR5009642	1
ERR5009643	1
ERR5009645	1
ERR5009646	1
ERR5009647	1
ERR5009648	1
ERR5009651	1
ERR5009653	1
ERR5009659	1
ERR5009660	1
ERR5009665	1
ERR5009667	1
ERR5009668	1
ERR5009674	1
ERR5009677	1
ERR5009678	1
ERR5009680	1
ERR5009684	1
ERR5009685	1
ERR5009690	1
ERR5009693	1
ERR5009696	1
ERR5009699	1
ERR5009701	1
ERR5009702	1
ERR5009706	1
ERR5009708	1
ERR5009711	1
ERR5009712	1
ERR5009715	1
ERR5009720	1
ERR5009721	1
ERR5009723	1
ERR5009725	1
ERR5009730	1
ERR5009735	1
ERR5009741	1
ERR5009742	1
ERR5009745	1
ERR5009748	1
SRR3206643	1
SRR3206645	1
SRR3206649	1
SRR3206654	0
SRR3206658	0
SRR3206659	0
SRR3206664	0
SRR3206665	1
SRR3206666	0
SRR3206669	1
SRR3206670	1
SRR3206671	1
SRR3206674	1
SRR3206676	0
SRR3206678	1
SRR3206679	0
SRR3206680	0
SRR3206681	0
SRR3206682	0
SRR8534034	1
SRR8534037	1
SRR8534038	1
SRR8534039	1
SRR8534042	1
SRR8534043	0
SRR8534046	0
SRR8534047	0
SRR8534050	0
SRR8534056	1
SRR8534057	1
SRR8534064	1
SRR8534065	0
SRR8534069	1
SRR8534076	1
SRR8534084	0
SRR8534085	1
SRR8534087	0
SRR8534088	1
SRR8534089	1
SRR8534090	0
SRR8534092	1
SRR8534094	1
SRR8534095	1
SRR8534098	1
SRR8534109	0
SRR8534114	0
SRR8534124	1
SRR8534128	1
SRR8534131	1
SRR8534148	0
SRR8534172	1
SRR8534185	0
SRR8534187	0
SRR8534199	1
SRR8534203	1
SRR8534204	1
SRR8534206	1
SRR8534207	1
SRR8534210	0
SRR8534215	0
SRR8534216	0
SRR8534217	0
SRR8534218	0
SRR8534221	1
SRR8534223	1
SRR8534225	1
SRR8534229	1
SRR8534233	1
SRR8534234	1
SRR8534236	1
SRR8534238	1
SRR8534239	1
SRR8534240	0
SRR8534241	1
SRR8534245	1
SRR8534247	1
SRR8534249	1
SRR8534252	0
ERR1368879	1
ERR1368880	1
ERR1368881	1
ERR1368882	1
ERR1368885	1
ERR1368886	1
ERR1368887	1
ERR1368888	1
ERR1368889	1
ERR1368891	1
ERR1368894	1
ERR1368896	1
ERR1368898	1
ERR1368899	1
ERR1368901	1
ERR1368904	1
ERR1368906	1
ERR1368907	1
ERR1368909	1
ERR1368911	1
ERR1368912	1
ERR1368913	1
ERR1368914	1
ERR1368915	1
ERR1368916	1
ERR1368917	1
ERR1368918	1
ERR1368920	1
ERR1368921	1
ERR1368922	1
ERR1368923	1
ERR1368927	1
ERR1368928	1
ERR1368929	1
ERR1368933	1
ERR1368934	1
ERR1368935	1
ERR1368937	1
ERR1368939	1
ERR1368940	1
ERR1368941	1
ERR1368943	1
ERR1368944	1
ERR1368949	1
ERR1368951	1
ERR1368952	1
ERR1368953	1
ERR1368954	1
ERR1368956	1
ERR1368957	1
ERR1368958	1
ERR1368960	1
ERR1368961	1
ERR1368962	1
ERR1368964	1
ERR1368965	1
ERR1368966	1
ERR1368967	1
ERR1368969	1
ERR1368972	0
ERR1368974	1
ERR1368975	1
ERR1368976	1
ERR1368977	1
ERR1368979	1
ERR1368980	1
ERR1368981	1
ERR1368985	1
ERR1368986	1
ERR1368987	1
ERR1368988	1
ERR1368990	1
ERR1368991	1
ERR1368992	1
ERR1368993	1
ERR1368994	1
ERR1368995	1
ERR1368997	1
ERR1369000	1
ERR1369001	1
ERR1369002	1
ERR1369004	1
ERR1369005	1
