sample_id	group
SRR413583	0
SRR413584	0
SRR413592	0
SRR413597	0
SRR1778455	1
SRR1778454	1
SRR1778450	1
SRR341725	0
SRR341724	0
SRR341716	0
SRR341715	0
SRR341714	0
SRR341713	0
SRR341711	0
SRR341709	0
SRR341705	0
SRR341699	0
SRR341698	0
SRR341695	0
SRR341692	0
SRR341691	0
SRR341688	1
SRR341687	1
SRR341685	1
SRR341684	1
SRR341681	1
SRR341679	1
SRR341677	1
SRR341676	1
SRR341672	1
SRR341668	1
SRR341665	1
SRR341663	1
SRR341662	1
SRR341659	1
SRR341649	0
SRR341645	0
SRR341637	0
SRR341636	0
SRR341623	0
SRR341620	0
SRR341617	0
SRR341614	1
SRR341611	1
SRR341607	1
SRR341603	1
SRR341601	1
SRR341600	1
SRR341595	1
SRR341593	1
SRR341592	1
SRR341591	1
SRR341588	1
SRR341587	1
SRR341586	1
SRR341584	1
SRR341582	1
SRR341581	1
SRR413772	1
SRR413771	1
SRR413770	1
SRR413767	1
SRR413764	1
SRR413763	1
SRR413758	1
SRR413747	1
SRR413741	1
SRR413740	1
SRR413739	1
SRR413734	1
SRR413731	1
SRR413728	1
SRR413727	1
SRR413726	1
SRR413722	1
SRR413720	1
SRR413717	1
SRR413713	1
SRR413710	1
SRR413708	1
SRR413704	1
SRR413702	1
SRR413696	1
SRR413694	1
SRR413692	1
SRR413688	1
SRR413685	1
SRR413683	1
SRR413679	1
SRR413667	0
SRR413665	0
SRR413656	0
SRR413654	0
SRR413653	0
SRR413649	0
SRR413648	0
SRR413646	0
SRR413645	0
SRR413644	0
SRR413643	0
SRR413641	0
SRR413639	0
SRR413637	0
SRR413635	0
SRR413633	0
SRR413623	0
SRR413620	0
SRR413613	0
SRR413610	0
