sample_id	group
Group_S1_S3_1	0
Group_S1_S3_2	0
Group_S1_S3_3	0
Group_S1_S3_4	0
Group_S1_S3_5	0
Group_S1_S3_6	0
Group_S1_S3_7	0
Group_S1_S3_8	0
Group_S1_S3_9	0
Group_S1_S3_10	0
Group_S1_S3_11	0
Group_S1_S3_12	0
Group_S1_S3_13	0
Group_S1_S3_14	0
Group_S1_S3_15	0
Group_S1_S3_16	0
Group_S1_S3_17	0
Group_S1_S3_18	0
Group_S1_S3_19	0
Group_S1_S3_20	0
Group_S1_S3_21	0
Group_S1_S3_22	0
Group_S1_S3_23	0
Group_S1_S3_24	0
Group_S1_S3_25	0
Group_S1_S3_26	0
Group_S1_S3_27	0
Group_S1_S3_28	0
Group_S1_S3_29	0
Group_S1_S3_30	0
Group_S1_S3_31	0
Group_S1_S3_32	0
Group_S1_S3_33	0
Group_S1_S3_34	0
Group_S1_S3_35	0
Group_S1_S3_36	0
Group_S1_S3_37	0
Group_S1_S3_38	0
Group_S1_S3_39	0
Group_S1_S3_40	0
Group_S1_S3_41	0
Group_S1_S3_42	0
Group_S1_S3_43	0
Group_S1_S3_44	0
Group_S1_S3_45	0
Group_S1_S3_46	0
Group_S1_S3_47	0
Group_S1_S3_48	0
Group_S1_S3_49	0
Group_S1_S3_50	0
Group_S1_S3_51	0
Group_S1_S3_52	0
Group_S1_S3_53	0
Group_S1_S3_54	0
Group_S1_S3_55	0
Group_S1_S3_56	0
Group_S1_S3_57	0
Group_S1_S3_58	0
Group_S1_S3_59	0
Group_S1_S3_60	0
Group_S1_S3_61	0
Group_S1_S3_62	0
Group_S1_S3_63	0
Group_S1_S3_64	0
Group_S1_S3_65	0
Group_S1_S3_66	0
Group_S1_S3_67	0
Group_S1_S3_68	0
Group_S1_S3_69	0
Group_S1_S3_70	0
Group_S1_S3_71	0
Group_S1_S3_72	0
Group_S1_S3_73	0
Group_S1_S3_74	0
Group_S1_S3_75	0
Group_S1_S3_76	0
Group_S1_S3_77	0
Group_S2_S4_1	1
Group_S2_S4_2	1
Group_S2_S4_3	1
Group_S2_S4_4	1
Group_S2_S4_5	1
Group_S2_S4_6	1
Group_S2_S4_7	1
Group_S2_S4_8	1
Group_S2_S4_9	1
Group_S2_S4_10	1
Group_S2_S4_11	1
Group_S2_S4_12	1
Group_S2_S4_13	1
Group_S2_S4_14	1
Group_S2_S4_15	1
Group_S2_S4_16	1
Group_S2_S4_17	1
Group_S2_S4_18	1
Group_S2_S4_19	1
Group_S2_S4_20	1
Group_S2_S4_21	1
Group_S2_S4_22	1
Group_S2_S4_23	1
Group_S2_S4_24	1
Group_S2_S4_25	1
Group_S2_S4_26	1
Group_S2_S4_27	1
Group_S2_S4_28	1
Group_S2_S4_29	1
Group_S2_S4_30	1
Group_S2_S4_31	1
Group_S2_S4_32	1
Group_S2_S4_33	1
Group_S2_S4_34	1
Group_S2_S4_35	1
Group_S2_S4_36	1
Group_S2_S4_37	1
Group_S2_S4_38	1
Group_S2_S4_39	1
Group_S2_S4_40	1
Group_S2_S4_41	1
Group_S2_S4_42	1
Group_S2_S4_43	1
Group_S2_S4_44	1
Group_S2_S4_45	1
Group_S2_S4_46	1
Group_S2_S4_47	1
Group_S2_S4_48	1
Group_S2_S4_49	1
Group_S2_S4_50	1
Group_S2_S4_51	1
Group_S2_S4_52	1
Group_S2_S4_53	1
Group_S2_S4_54	1
Group_S2_S4_55	1
Group_S2_S4_56	1
Group_S2_S4_57	1
Group_S2_S4_58	1
Group_S2_S4_59	1
Group_S2_S4_60	1
Group_S2_S4_61	1
Group_S2_S4_62	1
Group_S2_S4_63	1
Group_S2_S4_64	1
Group_S2_S4_65	1
Group_S2_S4_66	1
Group_S2_S4_67	1
Group_S2_S4_68	1
Group_S2_S4_69	1
Group_S2_S4_70	1
Group_S2_S4_71	1
